condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,2,stlr,after_every,0,1000000,2000000,6569630,2056352,6.570,2.056,3.2848,PASS
hit,2,stlr,after_every,1,1000000,2000000,6606297,2080800,6.606,2.081,3.3031,PASS
hit,2,stlr,after_every,2,1000000,2000000,6471044,2020160,6.471,2.020,3.2355,PASS
hit,2,stlr,after_every,3,1000000,2000000,6482360,2024416,6.482,2.024,3.2412,PASS
hit,2,stlr,after_every,4,1000000,2000000,6398605,1997472,6.399,1.997,3.1993,PASS
hit,2,stlr,after_every,5,1000000,2000000,6424164,2007136,6.424,2.007,3.2121,PASS
hit,2,stlr,after_every,6,1000000,2000000,6350447,1983648,6.350,1.984,3.1752,PASS
hit,2,stlr,after_every,7,1000000,2000000,6561165,2048544,6.561,2.049,3.2806,PASS
hit,2,stlr,after_every,8,1000000,2000000,6345427,1981152,6.345,1.981,3.1727,PASS
hit,2,stlr,after_every,9,1000000,2000000,6420010,2004544,6.420,2.005,3.2100,PASS
hit,2,stlr,after_group,0,1000000,2000000,6501574,2040448,6.502,2.040,3.2508,PASS
hit,2,stlr,after_group,1,1000000,2000000,6468586,2021920,6.469,2.022,3.2343,PASS
hit,2,stlr,after_group,2,1000000,2000000,6459378,2017056,6.459,2.017,3.2297,PASS
hit,2,stlr,after_group,3,1000000,2000000,6705750,2101792,6.706,2.102,3.3529,PASS
hit,2,stlr,after_group,4,1000000,2000000,6615636,2064704,6.616,2.065,3.3078,PASS
hit,2,stlr,after_group,5,1000000,2000000,6360633,1985728,6.361,1.986,3.1803,PASS
hit,2,stlr,after_group,6,1000000,2000000,6361074,2005856,6.361,2.006,3.1805,PASS
hit,2,stlr,after_group,7,1000000,2000000,6423779,2006496,6.424,2.006,3.2119,PASS
hit,2,stlr,after_group,8,1000000,2000000,6643526,2073952,6.644,2.074,3.3218,PASS
hit,2,stlr,after_group,9,1000000,2000000,6486642,2024256,6.487,2.024,3.2433,PASS
hit,4,dmb_ish,after_every,0,1000000,4000000,12158773,3827424,12.159,3.827,3.0397,PASS
hit,4,dmb_ish,after_every,1,1000000,4000000,12141007,3781472,12.141,3.781,3.0353,PASS
hit,4,dmb_ish,after_every,2,1000000,4000000,12122795,3774048,12.123,3.774,3.0307,PASS
hit,4,dmb_ish,after_every,3,1000000,4000000,12175466,3788544,12.175,3.789,3.0439,PASS
hit,4,dmb_ish,after_every,4,1000000,4000000,12144283,3779968,12.144,3.780,3.0361,PASS
hit,4,dmb_ish,after_every,5,1000000,4000000,12170430,3787904,12.170,3.788,3.0426,PASS
hit,4,dmb_ish,after_every,6,1000000,4000000,12133853,3777408,12.134,3.777,3.0335,PASS
hit,4,dmb_ish,after_every,7,1000000,4000000,12170250,3788544,12.170,3.789,3.0426,PASS
hit,4,dmb_ish,after_every,8,1000000,4000000,12151889,3781920,12.152,3.782,3.0380,PASS
hit,4,dmb_ish,after_every,9,1000000,4000000,12158091,3784224,12.158,3.784,3.0395,PASS
hit,4,dmb_ish,after_group,0,1000000,4000000,12151591,3813152,12.152,3.813,3.0379,PASS
hit,4,dmb_ish,after_group,1,1000000,4000000,12145148,3790176,12.145,3.790,3.0363,PASS
hit,4,dmb_ish,after_group,2,1000000,4000000,12166715,3789984,12.167,3.790,3.0417,PASS
hit,4,dmb_ish,after_group,3,1000000,4000000,12201984,3800832,12.202,3.801,3.0505,PASS
hit,4,dmb_ish,after_group,4,1000000,4000000,12137958,3778240,12.138,3.778,3.0345,PASS
hit,4,dmb_ish,after_group,5,1000000,4000000,12137385,3784448,12.137,3.784,3.0343,PASS
hit,4,dmb_ish,after_group,6,1000000,4000000,12151757,3782464,12.152,3.782,3.0379,PASS
hit,4,dmb_ish,after_group,7,1000000,4000000,12141604,3779648,12.142,3.780,3.0354,PASS
hit,4,dmb_ish,after_group,8,1000000,4000000,12112981,3771424,12.113,3.771,3.0282,PASS
hit,4,dmb_ish,after_group,9,1000000,4000000,12112211,3769856,12.112,3.770,3.0281,PASS
hit,4,dmb_ishst,after_every,0,1000000,4000000,12113004,3817536,12.113,3.818,3.0283,PASS
hit,4,dmb_ishst,after_every,1,1000000,4000000,12159670,3796320,12.160,3.796,3.0399,PASS
